ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
0.6,-1,0.50,1.163391,1.263013,1.665103,2.180386,1.810216,1.665103,-0.281212
0.6,-1,0.60,1.231935,1.377219,1.737238,2.359342,1.838646,1.737238,-0.269612
0.6,-1,0.70,1.277360,1.382133,1.804142,2.279820,1.917631,1.804142,-0.254952
0.6,-1,0.80,1.278040,1.379596,1.842739,2.264086,1.974785,1.842739,-0.236529
0.6,-1,0.90,1.254442,1.319871,1.852751,2.191675,2.018824,1.852751,-0.215657
0.6,-1,1.00,1.225796,1.294688,1.846199,2.195113,2.035713,1.846199,-0.194823
0.6,-1,1.10,1.199027,1.238714,1.833182,2.135692,2.047030,1.833182,-0.174351
0.6,-1,1.20,1.176207,1.192975,1.819088,2.086331,2.049010,1.819088,-0.157576
0.6,-1,1.30,1.157526,1.185196,1.806112,2.095277,2.039269,1.806112,-0.141129
0.6,-1,1.40,1.142568,1.160860,1.794834,2.062899,2.031634,1.794834,-0.135232
0.6,-1,1.50,1.130690,1.143329,1.785269,2.044311,2.020839,1.785269,-0.120393
0.6,-1,1.60,1.121325,1.132117,1.777400,2.024888,2.009677,1.777400,-0.117526
0.6,-1,1.70,1.113949,1.112760,1.770993,1.993225,2.000173,1.770993,-0.117748
0.6,-1,1.80,1.108320,1.107792,1.765768,1.986579,1.987402,1.765768,-0.112912
0.6,-1,1.90,1.103953,1.092455,1.761396,1.959710,1.978122,1.761396,-0.121991
0.6,-1,2.00,1.100735,1.111593,1.757663,1.984667,1.960924,1.757663,-0.114629
0.7,-1,0.00,1.105009,1.274678,1.598374,2.250653,1.755920,1.598374,-0.300458
0.7,-1,0.10,1.103111,1.285642,1.598150,2.273079,1.750865,1.598150,-0.300661
0.7,-1,0.20,1.098146,1.283811,1.599112,2.274305,1.749574,1.599112,-0.300317
0.7,-1,0.30,1.092834,1.315068,1.607666,2.291043,1.746294,1.607666,-0.299016
0.7,-1,0.40,1.097558,1.345292,1.633823,2.348047,1.750488,1.633823,-0.294191
0.7,-1,0.50,1.139368,1.394360,1.689148,2.416969,1.767332,1.689148,-0.285470
0.7,-1,0.60,1.051423,1.460492,1.768180,2.488397,1.815285,1.768180,-0.273762
0.7,-1,0.70,1.111881,1.489753,1.844169,2.472678,1.895089,1.844169,-0.258860
0.7,-1,0.80,1.255228,1.448431,1.889055,2.342342,1.973130,1.889055,-0.240780
0.7,-1,0.90,1.319759,1.398089,1.898409,2.283861,2.018048,1.898409,-0.219075
0.7,-1,1.00,1.276630,1.347254,1.886748,2.247094,2.040069,1.886748,-0.196612
0.7,-1,1.10,1.236845,1.295104,1.867513,2.200729,2.049021,1.867513,-0.174311
0.7,-1,1.20,1.204285,1.248886,1.847568,2.156977,2.048923,1.847568,-0.154556
0.7,-1,1.30,1.178501,1.211423,1.829669,2.115725,2.043686,1.829669,-0.139404
0.7,-1,1.40,1.158457,1.186611,1.814505,2.090626,2.033865,1.814505,-0.124819
0.7,-1,1.50,1.142860,1.167325,1.801847,2.064738,2.022839,1.801847,-0.114883
0.7,-1,1.60,1.130755,1.167729,1.791516,2.074498,2.006933,1.791516,-0.108636
0.7,-1,1.70,1.121375,1.149665,1.783122,2.043041,1.996070,1.783122,-0.106766
0.7,-1,1.80,1.114138,1.130909,1.776115,2.010915,1.985732,1.776115,-0.108316
0.7,-1,1.90,1.108689,1.115677,1.770314,1.983374,1.975444,1.770314,-0.111181
0.7,-1,2.00,1.104602,1.111664,1.765445,1.972643,1.963378,1.765445,-0.112145
0.8,-1,0.00,1.050954,1.319197,1.620887,2.335495,1.742419,1.620887,-0.303356
0.8,-1,0.10,0.998039,1.325543,1.620476,2.350695,1.738788,1.620476,-0.303496
0.8,-1,0.20,0.768660,1.299078,1.620923,2.289699,1.746113,1.620923,-0.303297
0.8,-1,0.30,0.277405,1.314955,1.628824,2.258106,1.750433,1.628824,-0.302007
0.8,-1,0.40,0.203136,1.404826,1.654653,2.406156,1.740005,1.654653,-0.296833
0.8,-1,0.50,0.352377,1.405289,1.711465,2.376764,1.775391,1.711465,-0.286993
0.8,-1,0.60,1.009669,1.448431,1.797025,2.413387,1.827616,1.797025,-0.275812
0.8,-1,0.70,1.229307,1.559575,1.884486,2.549704,1.885438,1.884486,-0.262012
0.8,-1,0.80,0.874863,1.551081,1.937510,2.490792,1.963845,1.937510,-0.243922
0.8,-1,0.90,1.024087,1.489514,1.947668,2.400165,2.017193,1.947668,-0.221806
0.8,-1,1.00,1.330208,1.424107,1.931183,2.342169,2.042178,1.931183,-0.197935
0.8,-1,1.10,1.278553,1.352930,1.905205,2.268098,2.052447,1.905205,-0.174057
0.8,-1,1.20,1.236953,1.306023,1.878922,2.229955,2.050540,1.878922,-0.151363
0.8,-1,1.30,1.204590,1.249358,1.855640,2.157933,2.046503,1.855640,-0.133584
0.8,-1,1.40,1.179608,1.225828,1.836113,2.140183,2.034649,1.836113,-0.121081
0.8,-1,1.50,1.160460,1.194359,1.819991,2.094351,2.024340,1.819991,-0.108536
0.8,-1,1.60,1.145652,1.175348,1.806937,2.067511,2.011719,1.806937,-0.107763
0.8,-1,1.70,1.134166,1.159295,1.796204,2.043843,1.998872,1.796204,-0.095955
0.8,-1,1.80,1.125383,1.162652,1.787442,2.050179,1.982512,1.787442,-0.097503
0.8,-1,1.90,1.118644,1.154104,1.780181,2.032160,1.969733,1.780181,-0.110866
0.8,-1,2.00,1.113540,1.153276,1.773892,2.030553,1.955151,1.773892,-0.097339
0.9,-1,0.00,0.424702,1.387602,1.643374,2.457007,1.723239,1.643374,-0.306065
0.9,-1,0.10,0.461787,1.356913,1.642850,2.399878,1.728739,1.642850,-0.306241
0.9,-1,0.20,0.644450,1.367863,1.642551,2.412403,1.723467,1.642551,-0.305721
0.9,-1,0.30,0.872298,1.339536,1.649149,2.315158,1.739528,1.649149,-0.303472
0.9,-1,0.40,0.874687,1.430070,1.674202,2.409877,1.738632,1.674202,-0.298650
0.9,-1,0.50,0.766821,1.509661,1.731708,2.559454,1.742496,1.731708,-0.289105
0.9,-1,0.60,0.494628,1.554445,1.823238,2.607327,1.784106,1.823238,-0.279173
0.9,-1,0.70,0.460509,1.631204,1.922148,2.650411,1.855983,1.922148,-0.265952
0.9,-1,0.80,1.263794,1.608990,1.986644,2.546769,1.963726,1.986644,-0.248621
0.9,-1,0.90,1.202977,1.568883,1.999968,2.490962,2.019648,1.999968,-0.225269
0.9,-1,1.00,1.189000,1.476910,1.979268,2.381685,2.050033,1.979268,-0.199944
0.9,-1,1.10,1.324916,1.401603,1.946296,2.316836,2.059001,1.946296,-0.175122
0.9,-1,1.20,1.273614,1.349306,1.913029,2.275496,2.056068,1.913029,-0.152998
0.9,-1,1.30,1.234056,1.298686,1.883827,2.219214,2.048839,1.883827,-0.132936
0.9,-1,1.40,1.203798,1.254315,1.859647,2.166229,2.038608,1.859647,-0.117991
0.9,-1,1.50,1.180702,1.228952,1.839681,2.132983,2.025687,1.839681,-0.103086
0.9,-1,1.60,1.162899,1.205840,1.823600,2.105573,2.011712,1.823600,-0.100433
0.9,-1,1.70,1.149183,1.182397,1.810442,2.072942,1.998545,1.810442,-0.095717
0.9,-1,1.80,1.138608,1.149014,1.799692,2.017406,1.988875,1.799692,-0.095827
0.9,-1,1.90,1.130493,1.164685,1.790735,2.042039,1.970092,1.790735,-0.100586
0.9,-1,2.00,1.124271,1.166733,1.783179,2.043018,1.954576,1.783179,-0.096435
1.0,-1,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,-1,0.10,1.152326,1.383258,1.664219,2.474207,1.739751,1.664219,-0.305937
1.0,-1,0.20,1.250951,1.362298,1.663488,2.421353,1.744342,1.663488,-0.305231
1.0,-1,0.30,1.317089,1.379981,1.668804,2.402644,1.728456,1.668804,-0.303558
1.0,-1,0.40,1.220794,1.405266,1.692559,2.310747,1.753982,1.692559,-0.298385
1.0,-1,0.50,0.737965,1.526802,1.750499,2.506616,1.750072,1.750499,-0.290068
1.0,-1,0.60,0.642496,1.665935,1.846043,2.830283,1.749331,1.846043,-0.282201
1.0,-1,0.70,0.504624,1.653657,1.957635,2.653487,1.853674,1.957635,-0.270213
1.0,-1,0.80,0.474564,1.698509,2.035302,2.678640,1.953944,2.035302,-0.251335
1.0,-1,0.90,1.083885,1.656241,2.054534,2.597142,2.020525,2.054534,-0.228035
1.0,-1,1.00,1.303896,1.561111,2.030726,2.486356,2.054546,2.030726,-0.202916
1.0,-1,1.10,1.255533,1.470289,1.990558,2.393034,2.064946,1.990558,-0.175945
1.0,-1,1.20,1.313699,1.388470,1.949772,2.303748,2.063783,1.949772,-0.151995
1.0,-1,1.30,1.266086,1.341269,1.914203,2.269698,2.053318,1.914203,-0.132347
1.0,-1,1.40,1.230027,1.292352,1.884658,2.207154,2.042078,1.884658,-0.115301
1.0,-1,1.50,1.202581,1.267293,1.860790,2.185485,2.026461,1.860790,-0.103957
1.0,-1,1.60,1.181537,1.218909,1.841404,2.111755,2.015540,1.841404,-0.093400
1.0,-1,1.70,1.165472,1.206404,1.825739,2.096523,1.999578,1.825739,-0.087545
1.0,-1,1.80,1.152958,1.182810,1.812747,2.060595,1.986281,1.812747,-0.084690
1.0,-1,1.90,1.143290,1.163913,1.802083,2.027506,1.973767,1.802083,-0.087719
1.0,-1,2.00,1.135804,1.158820,1.793022,2.023142,1.958643,1.793022,-0.093400
