ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
1.0,0,1.60,1.083720,1.338055,1.545446,2.442714,1.933940,1.545446,-0.287909
1.0,0,1.70,1.123012,1.333336,1.502319,2.391215,2.015178,1.502319,-0.289612
1.0,0,1.80,1.121030,1.341831,1.443308,2.352213,2.099357,1.443308,-0.292372
1.0,0,1.90,1.086191,1.332675,1.357909,2.259260,2.186789,1.357909,-0.296116
1.0,0,2.00,0.991030,1.369006,1.222691,2.115379,2.198620,1.222691,-0.301406
1.0,0.25,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,0.25,0.10,1.053178,1.286016,1.665345,2.272941,1.757814,1.665345,-0.305633
1.0,0.25,0.20,0.985070,1.327736,1.666690,2.349949,1.748789,1.666690,-0.304694
1.0,0.25,0.30,0.829591,1.392266,1.668709,2.458790,1.731675,1.668709,-0.303445
1.0,0.25,0.40,0.589032,1.365505,1.670606,2.428667,1.727766,1.670606,-0.301598
1.0,0.25,0.50,0.441493,1.387535,1.671175,2.458508,1.714917,1.671175,-0.299162
1.0,0.25,0.60,0.656540,1.346229,1.670378,2.373334,1.724553,1.670378,-0.296411
1.0,0.25,0.70,0.840213,1.343517,1.666553,2.366158,1.724955,1.666553,-0.293118
1.0,0.25,0.80,0.804401,1.359087,1.659196,2.399855,1.718752,1.659196,-0.289830
1.0,0.25,0.90,1.011530,1.352949,1.647041,2.399148,1.716734,1.647041,-0.286325
1.0,0.25,1.00,1.092942,1.336515,1.628988,2.370823,1.719124,1.628988,-0.282924
1.0,0.25,1.10,1.101490,1.318004,1.603777,2.342787,1.721118,1.603777,-0.279363
1.0,0.25,1.20,1.128965,1.293968,1.569580,2.310806,1.723287,1.569580,-0.276609
1.0,0.25,1.30,1.103014,1.260318,1.524108,2.313649,1.717444,1.524108,-0.274715
1.0,0.25,1.40,1.068077,1.185191,1.463278,2.260116,1.720354,1.463278,-0.273528
1.0,0.25,1.50,1.023271,1.111045,1.381454,2.279446,1.702783,1.381454,-0.274048
1.0,0.25,1.60,1.147382,1.006622,1.268751,2.306853,1.677901,1.268751,-0.276308
1.0,0.25,1.70,1.295736,0.791199,1.109311,2.157095,1.704543,1.109311,-0.281175
1.0,0.25,1.80,1.367247,0.547368,0.878229,1.991235,1.720851,0.878229,-0.288985
1.0,0.25,1.90,1.244550,1.870898,0.564622,3.137855,1.247676,0.564622,-0.300136
1.0,0.25,2.00,0.802840,2.979059,0.847855,3.278669,1.048531,0.847855,-0.314795
1.0,0.5,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,0.5,0.10,1.036707,1.301061,1.665769,2.307753,1.754796,1.665769,-0.305441
1.0,0.5,0.20,0.854433,1.364124,1.668039,2.417889,1.739299,1.668039,-0.304221
1.0,0.5,0.30,0.545391,1.414876,1.671598,2.504190,1.719696,1.671598,-0.302092
1.0,0.5,0.40,0.485489,1.365102,1.674621,2.417026,1.724427,1.674621,-0.299015
1.0,0.5,0.50,0.899660,1.339383,1.676898,2.356348,1.733201,1.676898,-0.294856
1.0,0.5,0.60,1.006795,1.335113,1.676966,2.339938,1.737265,1.676966,-0.289957
1.0,0.5,0.70,1.043261,1.382850,1.674146,2.443497,1.723343,1.674146,-0.284449
1.0,0.5,0.80,1.178765,1.346160,1.667446,2.375666,1.734459,1.667446,-0.277806
1.0,0.5,0.90,1.179782,1.316765,1.656794,2.321557,1.743161,1.656794,-0.271485
1.0,0.5,1.00,1.168996,1.299310,1.641910,2.298361,1.746063,1.641910,-0.264595
1.0,0.5,1.10,1.153999,1.289144,1.622739,2.304162,1.742928,1.622739,-0.258130
1.0,0.5,1.20,1.135293,1.255547,1.599183,2.270445,1.746046,1.599183,-0.252545
1.0,0.5,1.30,1.113248,1.213116,1.571075,2.216648,1.751430,1.571075,-0.247603
